나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
38,2,1,1,2,1,2,1,1,3.53,3.25,4.2,3.25,0,0,4345,4345,145,13,4345,3,13,13
26,2,2,2,2,2,1,1,1,4.06,4.13,4.2,3.75,0,0,2095,2095,70,7,1060,2,123,123
29,2,2,2,1,1,2,2,1,3.47,3.38,3.6,3.5,1,1,3980,3689,123,11,455,3,13,13
32,2,1,2,2,1,1,2,1,3.88,4.38,3.4,3.5,1,1,3680,3543,118,10,455,3,13,13
28,2,2,2,2,1,2,1,2,3.59,4,3.4,3,0,0,3680,3680,123,11,515,3,123,123
35,2,2,1,1,2,2,2,1,4,3.88,4.2,4,0,0,4045,4045,135,12,2585,3,13,13
30,2,2,2,2,2,1,1,1,4.65,4.63,4.6,4.75,0,0,2220,2220,74,7,1520,3,13,13
26,2,2,2,1,1,1,1,1,4.18,4.25,4,4.25,1,1,1275,864,29,3,455,1,13,13
30,2,2,2,2,1,1,2,2,3.65,3.38,4,3.75,0,0,2250,2250,75,7,395,3,123,123
28,2,2,2,2,2,1,1,2,3.35,3.25,3.6,3.25,0,0,3585,3585,120,10,1125,3,13,13
31,2,1,2,2,1,1,2,1,3.53,3.5,3.6,3.5,1,1,2370,2033,68,7,665,2,13,13
29,2,2,1,1,1,2,1,1,3.12,2.88,3.6,3,0,0,3220,3220,107,9,1305,3,13,13
30,2,2,2,1,2,2,2,1,3.88,3.5,4,4.5,1,1,3680,3557,119,10,395,3,13,13
28,2,2,2,2,1,1,1,1,3.41,3.38,3.6,3.25,1,1,1760,1570,52,6,485,2,13,13
39,2,1,2,1,1,1,2,2,3.71,3.63,4,3.5,0,0,2980,2980,99,9,790,3,13,13
25,2,2,2,1,2,1,2,1,4.12,4.13,4.2,4,0,0,2220,2220,74,7,2155,3,123,123
25,2,2,2,1,2,2,1,1,3.59,3.63,3.6,3.5,0,0,2585,2585,86,8,1730,3,123,123
30,2,1,2,2,2,1,1,2,3.88,4.13,4,3.25,1,1,2980,2226,74,7,790,3,123,123
30,2,1,1,2,2,2,1,1,3.71,3.88,3.8,3.25,0,0,3585,3585,120,10,1855,3,13,13
31,2,2,1,2,2,2,1,1,3.76,3.63,4,3.75,0,0,3680,3680,123,11,2125,3,13,13
28,1,1,2,1,1,2,1,2,4.12,4,4.4,4,0,0,2250,2250,75,7,1855,3,123,123
28,2,2,1,2,1,2,1,1,3.82,4.25,3.4,3.5,0,0,2220,2220,74,7,1855,3,123,123
26,2,2,2,2,1,1,2,1,4,4.25,4.2,3.25,0,0,2520,2520,84,7,1790,3,13,13
46,2,2,1,1,2,1,2,1,3.76,3.63,4.2,3.5,1,1,2950,2782,93,8,485,3,13,13
25,2,2,1,2,1,1,2,1,3.82,3.75,3.6,4.25,1,1,2035,1553,52,6,425,2,123,123
27,2,2,2,1,2,1,1,1,3.88,3.75,4.2,3.75,0,0,3010,3010,100,9,1305,3,123,123
28,2,2,1,2,1,2,1,1,3.94,3.88,4.2,3.75,0,0,3040,3040,101,9,1185,3,123,123
26,2,2,1,2,2,1,2,1,3.71,3.5,4.2,3.5,1,1,1245,986,33,3,575,1,13,13
30,1,2,1,1,2,1,1,2,3.59,3.75,3.6,3.25,1,1,1490,941,31,3,760,1,123,123
32,2,2,2,2,1,2,1,1,3.82,3.88,3.6,4,0,0,4045,4045,135,12,1855,3,13,13
24,2,2,2,1,1,2,1,2,3.59,3.25,4,3.75,0,0,1700,1700,57,6,1185,2,13,13
34,2,1,1,2,1,2,1,1,3,2.75,3.4,3,0,0,4045,4045,135,12,2585,3,13,13
32,2,1,2,2,1,1,2,1,2.88,3.25,2.6,2.5,1,1,4045,3703,123,11,635,3,123,123
24,2,2,1,2,2,1,2,1,3.41,3.5,3.6,3,1,1,1155,1048,35,3,395,1,123,123
24,2,1,2,1,2,1,2,1,3.41,3.38,3.6,3.25,1,1,1580,846,28,3,695,1,123,123
38,2,1,2,2,2,1,1,1,3.65,3.75,3.2,4,0,0,1490,1490,50,6,760,2,13,13
30,2,1,2,2,1,1,2,1,3.65,3.5,4,3.5,1,1,2645,2050,68,7,2645,2,123,123
30,2,2,1,1,2,1,2,1,3.76,3.5,4,4,1,1,2250,1854,62,7,395,2,123,123
27,2,2,2,2,2,2,1,2,4,4.25,3.6,4,0,0,2765,2765,92,8,2250,3,13,13
27,2,2,1,2,1,1,1,1,3.18,3.25,3.2,3,1,1,2705,2173,72,7,2065,2,13,13
28,2,1,2,1,2,2,1,2,3.76,4,3.6,3.5,0,0,4045,4045,135,12,2765,3,13,13
27,2,2,2,1,1,2,2,1,3.53,3.63,3.4,3.5,1,1,2585,1934,64,7,1520,2,123,123
52,2,1,1,2,2,2,1,1,4.18,4.13,4.2,4.25,0,0,3250,3250,108,9,1490,3,13,13
31,2,2,2,2,1,2,1,1,3.94,3.88,4,4,0,0,3680,3680,123,11,1490,3,13,13
28,2,2,1,2,2,1,1,1,3.65,3.5,3.6,4,0,0,2735,2735,91,8,910,3,13,13
28,2,2,2,2,2,1,2,2,3.18,3.38,3,3,0,0,3315,3315,111,10,1490,3,13,13
28,2,2,2,2,1,2,2,1,4.06,4.13,4.2,3.75,1,1,1490,715,24,2,1125,1,123,123
50,2,1,1,1,1,2,2,1,4.18,4.25,4.2,4,1,1,4045,3846,128,11,545,3,13,13
